Number,Value
0,11
1,6
2,14
3,5
4,11
5,13
6,9
7,13
8,8
9,1
10,4
11,2
12,11
13,9
14,1
15,4
16,6
17,5
18,7
19,13
20,10
21,10
22,8
23,4
24,9
25,13
26,1
27,6
28,2
29,14
30,13
31,13
32,1
33,10
34,5
35,15
36,12
37,14
38,11
39,9
40,12
41,6
42,3
43,3
44,4
45,5
46,1
47,4
48,7
49,4
50,7
51,2
52,1
53,9
54,3
55,5
56,12
57,7
58,6
59,1
60,5
61,8
62,11
63,6
64,9
65,5
66,7
67,13
68,10
69,5
70,6
71,14
72,2
73,7
74,6
75,2
76,1
77,7
78,13
79,15
80,9
81,11
82,7
83,12
84,8
85,15
86,12
87,13
88,6
89,5
90,7
91,12
92,5
93,7
94,8
95,1
96,1
97,9
98,11
99,2
100,2
101,8
102,4
103,4
104,7
105,10
106,12
107,14
108,1
109,1
110,13
111,12
112,3
113,12
114,13
115,11
116,3
117,5
118,12
119,5
120,10
121,1
122,7
123,2
124,12
125,11
126,11
127,7
128,15
129,9
130,5
131,13
132,13
133,7
134,1
135,11
136,6
137,7
138,2
139,13
140,8
141,14
142,12
143,12
144,10
145,14
146,11
147,14
148,5
149,11
150,10
151,2
152,13
153,2
154,1
155,6
156,12
157,9
158,4
159,12
160,8
161,13
162,5
163,5
164,9
165,13
166,7
167,3
168,6
169,15
170,11
171,6
172,13
173,10
174,4
175,12
176,5
177,13
178,5
179,6
180,12
181,12
182,6
183,9
184,5
185,13
186,9
187,14
188,12
189,7
190,8
191,1
192,3
193,12
194,4
195,9
196,7
197,4
198,9
199,1
200,3
201,1
202,15
203,1
204,2
205,4
206,11
207,5
208,12
209,15
210,7
211,11
212,13
213,13
214,13
215,15
216,10
217,8
218,13
219,15
220,6
221,8
222,3
223,4
224,1
225,1
226,13
227,14
228,1
229,4
230,4
231,15
232,11
233,4
234,7
235,10
236,11
237,8
238,14
239,14
240,3
241,4
242,11
243,10
244,10
245,6
246,10
247,8
248,1
249,9
250,3
251,6
252,12
253,3
254,6
255,5
256,14
257,12
258,2
259,4
260,4
261,10
262,10
263,8
264,10
265,3
266,11
267,2
268,11
269,7
270,10
271,6
272,10
273,11
274,2
275,3
276,2
277,11
278,10
279,11
280,15
281,10
282,11
283,5
284,15
285,6
286,9
287,15
288,2
289,8
290,4
291,7
292,14
293,14
294,7
295,3
296,2
297,7
298,2
299,14
300,4
301,3
302,1
303,7
304,10
305,8
306,9
307,3
308,8
309,9
310,4
311,12
312,15
313,3
314,4
315,10
316,13
317,15
318,13
319,11
320,13
321,5
322,4
323,9
324,2
325,3
326,2
327,2
328,1
329,12
330,15
331,15
332,4
333,8
334,7
335,10
336,15
337,12
338,7
339,13
340,1
341,9
342,7
343,4
344,9
345,12
346,7
347,14
348,11
349,7
350,8
351,8
352,14
353,7
354,10
355,11
356,6
357,9
358,4
359,1
360,10
361,4
362,4
363,10
364,7
365,8
366,9
367,7
368,15
369,2
370,14
371,10
372,1
373,10
374,6
375,2
376,6
377,10
378,13
379,14
380,12
381,5
382,11
383,15
384,7
385,8
386,1
387,5
388,5
389,11
390,10
391,10
392,11
393,5
394,7
395,3
396,11
397,5
398,13
399,1
400,13
401,5
402,3
403,6
404,13
405,10
406,15
407,2
408,14
409,13
410,2
411,13
412,5
413,15
414,9
415,14
416,4
417,1
418,10
419,1
420,8
421,3
422,1
423,14
424,14
425,3
426,8
427,11
428,13
429,13
430,7
431,3
432,2
433,13
434,12
435,12
436,4
437,10
438,2
439,11
440,12
441,9
442,4
443,1
444,1
445,10
446,4
447,5
448,5
449,15
450,3
451,7
452,10
453,4
454,3
455,11
456,15
457,1
458,1
459,5
460,1
461,11
462,15
463,15
464,4
465,2
466,2
467,4
468,4
469,9
470,2
471,14
472,10
473,7
474,8
475,12
476,6
477,4
478,6
479,15
